"Date","Asset","Return"
2013-02-20,"Nykredit Alpha Mira",0.00192499
2013-02-20,"Nykredit Invest Engros DK Fokusaktier KL",0.00384014
2013-02-20,"Nykredit Invest Ansvarlige Kreditobl.",0.00417029
2013-02-20,"Wealth Invest HP Invest Korte Danske Obl",0.000160224
2013-02-20,"iShares Gold Producers ETF USD Acc",-0.0764504
2013-02-20,"Nordea Invest Danske Aktier Fokus KL 2",0.0152814
2013-02-20,"Nordea Invest Korte Obli Lagerbe KL 2",0.00196301
2013-02-20,"Nordea Invest Euro High Yield Bonds KL 2",0.00285762
2013-02-27,"BankInvest Korte Danske Obligationer W",0.00296313
2013-02-27,"BankInvest Korte Danske Obligationer A",0.00296313
2013-02-27,"BGF Swiss Small & MidCap Opps D2",0.000832543
2013-02-27,"BGF World Gold A2 HKD Hedged",0.0168534
2013-02-27,"BGF World Gold A2",0.0176548
2013-02-27,"BGF World Gold X2",0.017897
2013-02-27,"BGF World Gold D4",0.0185843
2013-02-27,"BGF World Gold I2",0.0177127
2013-02-27,"BGF World Gold D2 SGD Hedged",0.0161745
2013-02-27,"BGF Swiss Small & MidCap Opps A2",0.000727987
2013-02-27,"BGF World Gold D2",0.0175291
2013-02-27,"BGF World Gold A4",0.0176548
2013-02-27,"BSF European Unconstrained Eq I2 PF EUR",0.00453597
2013-02-27,"Danske Invest Alm Bol ML Obl Kl DKK W d",0.00194856
2013-02-27,"Danske Invest Danm In x OMXC20 DKK Wd",-0.00834003
2013-02-27,"Danske Inv Euro IG CB Rst DKK Wd",0.00584651
2013-02-27,"Danske Invest Euro IG Obl KL DKK Wdh",0.00612227
2013-02-27,"Danske Invest US High Yield Bonds KL",0.00612227
2013-02-27,"Danske Invest Kommuner 4 KL",0.00258028
2013-02-27,"Danske Invest Danm In ex OMXC20 DKK d",-0.00834003
2013-02-27,"Danske Inv EuroIG CorpBds Re KL DKKd",0.00584651
2013-02-27,"Danske Invest Gl VO KL DKK W d h",0.00577706
